repertoire,locus,unique_v3j,unique_vdj,reads
Briney_2019_Subject_326737_IgG_Subject-326737_Replicate-2_Isotype-IgG,IGH,56303,123507,123692
Levin_2015_SIT_timepoint-0_tissue-Biopsy_IGHE_SIT_tissue-Biopsy_subject-4_timepoint-0_Age-36_SRR5754994_iglblastn_iglblastn_IGHE,IGH,49,113,243
Gupta_2017_Heavy_IB_volunteer_IGHG_IB_before_2d_SRX2251667_iglblastn_igblastn_IGHG,IGL,606,1442,1683
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_SC15_IGA_igblastn_Bulk,IGH,108,113,448
Briney_2019_Subject_327059_IgM_Subject-327059_Replicate-7_Isotype-IgM,IGH,1227587,2117268,2117864
Eliyahu_2018_Heavy_HCV_IGA_IGHA_HCV_C5_IGA_igblastn_IGHA,IGH,11190,44321,116483
Ellebedy_2016_Day-14_HA-negative-activated-B-cell_IGHA_HA-negative-activated-B-cell_Day-14_Donor-4_igblastn_IGHA,IGH,721,8852,9208
Levin_2017_Bone_marrow_Donor4_Bulk_Donor4_BM_2_iglblastn_Bulk,IGH,101,300,301
Eliyahu_2018_Heavy_HCV_IGM_Bulk_HCV_C9_IGM_igblastn_Bulk,IGH,88,91,785
Rubelt_2016_TWINs_2_TW02B_IGHM_TW02B_B_memory_iglblastn_IGHM,IGH,23392,90282,91201
Eliyahu_2018_Heavy_HCV_IGM_IGHM_HCV_CI4_IGM_igblastn_IGHM,IGH,19384,80050,332678
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-3_timepoint-56_Age-30_SRR5755020_iglblastn_iglblastn_IGHE,IGH,261,783,2903
Thornqvist_2018_Donor-4_PBMC_IGHG_Donor_4_peripheral_blood_sample_1_igblastn_IGHG,IGH,18811,81043,82034
Jiang_2013_FLU_IGHE_SRR747758_iglblastn_igblastn_IGHE,IGH,146,458,564
Waltari_2018_Heavy_Healthy_PBMCs_IGHG_Heavy_Healthy_PBMCs_BD6_igblastn_IGHG,IGL,18,27,27
Gupta_2017_Heavy_Fv_volunteer_Bulk_FV_after_1d_SRX2251682_iglblastn_igblastn_Bulk,IGH,105,135,137
Parameswaran_2014_PConv_Bulk_515_PConv_iglblastn_Bulk,IGH,3643,5074,5331
Briney_2019_Subject_326650_IgE_Subject-326650_Replicate-16_Isotype-IgE,IGH,133,155,155
Vander_Heiden_2017_Heavy_HD07_IGHE_HD07_Unsorted_Bcells_age33_healthy_iglblastn_igblastn_IGHE,IGL,100,322,616
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S71_Naive-B-Cells_igblastn_Bulk,IGK,15930,126345,240456
Halliley_2015_HuBM_IGHM_SRR2124223_iglblastn_igblastn_IGHM,IGH,489,1092,1111
Mroczek_2014_Bulk_Immature_iglblastn_igblastn_Bulk,IGH,7554,11043,11192
Vander_Heiden_2017_Heavy_HD10_IGHG_HD10_Memory_Bcells_age31_healthy_iglblastn_igblastn_IGHG,IGH,1729,6432,10394
Vander_Heiden_2017_Heavy_MK02_Bulk_MK02_Naive_Bcells_age28_MuSK_disease-8years_stageIIIb_treatment-prednisone_iglblastn_igblastn_Bulk,IGH,2788,4277,4359
Davis_2019_Heavy_EVD2_Bulk_Heavy_EVD2_EBOLA_peak_PBMC_igblastn_Bulk,IGH,7126,35186,36051
Waltari_2018_Heavy_Healthy_PBMCs_IGHG_Heavy_Healthy_PBMCs_BD1a_igblastn_IGHG,IGH,56,56,56
Doria-Rose_2015_Heavy_Week30_IGHE_CAP256-Week30-Heavy_iglblastn_IGHE,IGH,24,30,30
Briney_2019_Subject_326713_IgD_Subject-326713_Replicate-6_Isotype-IgD,IGH,237,254,254
Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-4_igblastn_IGHG,IGH,44,334,369
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S16_Naive-B-Cells_igblastn_Bulk,IGH,450,670,836
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S32_Naive-B-Cells_igblastn_IGHM,IGH,31405,108656,132169
Wu_2015_Heavy_Visit_A_IGHE_H-2-chain_A-visit_2001-year_07-month_30-day_iglblastn_iglblastn_IGHE,IGH,121,121,121
Vander_Heiden_2017_Heavy_AR04_IGHE_AR04_Naive_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_IGHE,IGK,59,76,97
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S24_Naive-B-Cells_igblastn_IGHG,IGH,19,123,142
Vander_Heiden_2017_Heavy_AR03_Bulk_AR03_Memory_Bcells_age18_ACh_disease-2years_stageI_iglblastn_igblastn_Bulk,IGK,18593,89903,202363
Vander_Heiden_2017_Heavy_AR03_IGHA_AR03_Memory_Bcells_age18_ACh_disease-2years_stageI_iglblastn_igblastn_IGHA,IGH,3798,46094,65308
Schanz_2014_H_chain_HD1_prep4_IGHE_HD1_prep4_nucleotide_renamed_igblastn_IGHE,IGL,1,1,1
Parameswaran_2014_Conv_IGHD_299_Conv_iglblastn_IGHD,IGH,67,69,69
Briney_2019_Subject_326737_IgE_Subject-326737_Replicate-2_Isotype-IgE,IGH,158,164,164
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_bone_marrow_IgK_RAG+_B_lineage_cells_from_bone_marrow_SRR934660_iglblastn,IGH,4,6,6
Briney_2019_Subject_326780_IgD_Subject-326780_Replicate-12_Isotype-IgD,IGH,83,95,95
Briney_2019_Subject_326713_IgE_Subject-326713_Replicate-8_Isotype-IgE,IGH,1058,1117,1117
Prohaska_2018_Peritoneum_B-2_Bulk_Peritoneum_B-2_iglblastn_Bulk,IGH,1666,1712,1713
Vander_Heiden_2017_Heavy_AR03_IGHG_AR03_Naive_Bcells_age18_ACh_disease-2years_stageI_iglblastn_igblastn_IGHG,IGL,52,83,104
Bonsignori_2016_Hiv_infected_week-20_Bulk_HIV_infected_week-20_week_repeat-1_PBMC_iglblastn_igblastn_Bulk,IGH,3239,3908,4639
Jiang_2013_FLU_IGHD_SRR747759_iglblastn_igblastn_IGHD,IGH,6196,8838,9035
Gupta_2017_Light_GMC_volunteer_GMC_before_1h_SRX2251669_iglblastn,IGK,90444,280339,461885
Eliyahu_2018_Heavy_HCV_IGG_IGHG_HCV_C9_IGG_igblastn_IGHG,IGH,2441,5479,25204
Gupta_2017_Light_Fv_volunteer_FV_after_2w_SRX2251685_iglblastn,IGL,66990,300389,368345
Levin_2017_Peripheral_Donor3_IGHG_Donor3_PB_2_iglblastn_IGHG,IGH,42938,372090,384361
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_CI13_IGA_igblastn_Bulk,IGK,2,2,2
Vander_Heiden_2017_Heavy_HD09_IGHD_HD09_Memory_Bcells_age31_healthy_iglblastn_igblastn_IGHD,IGL,66,92,106
Gupta_2017_Heavy_GMC_volunteer_IGHD_GMC_before_2d_SRX2251676_iglblastn_igblastn_IGHD,IGL,326,452,539
Wesemann_2013_IgK_Lamina_propria_germ_free_mice_IgK_lamina_propria_from_germ_free_mice_SRR934681_iglblastn,IGK,1629,7847,8684
Gupta_2017_Heavy_IB_volunteer_IGHM_IB_before_8d_SRX2251666_iglblastn_igblastn_IGHM,IGK,59,63,67
Briney_2019_Subject_326907_IgA_Subject-326907_Replicate-2_Isotype-IgA,IGH,1,1,1
Pei_2017_gamma1_Bone-Marrow_Bulk_gamma1_Bone-Marrow_Follicular-B-Cells_5_igblastn_Bulk,IGH,91,91,91
Turchaninova_2016_IGHG_B_memory_donor_3_iglblastn_igblastn_IGHG,IGH,223,1607,1607
Levin_2017_Bone_marrow_Donor5_Bulk_Donor5_BM_2_iglblastn_Bulk,IGL,3,4,4
Vander_Heiden_2017_Heavy_HD09_IGHD_HD09_Unsorted_Bcells_age31_healthy_iglblastn_igblastn_IGHD,IGK,26,27,27
Huang_2016_light_2015_2015_1st_run_light_1-fq-gz_iglblastn,IGK,18309,580540,582420
Bashford_2013_CLL_subject-4_Bulk_CLL_subject-4_Age-77_repeat-1_iglblastn_Bulk,IGH,2969,8651,20361
Briney_2019_Subject_326737_IgD_Subject-326737_Replicate-18_Isotype-IgD,IGH,31,38,38
Doria-Rose_2015_Heavy_Week176_IGHE_CAP256-Week176-Heavy_iglblastn_IGHE,IGH,151,157,157
Gupta_2017_Heavy_Fv_volunteer_Bulk_FV_after_3w_SRX2251679_iglblastn_igblastn_Bulk,IGK,91403,300844,364831
Parameswaran_2014_Acute_Bulk_275_Acute_iglblastn_Bulk,IGH,2681,3126,3189
Bonsignori_2016_Hiv_infected_week-53_Bulk_HIV_infected_week-53_week_repeat-6_PBMC_iglblastn_igblastn_Bulk,IGH,27,29,31
Zhu_2013_Heavy_IGHG_Donor_C38_Run4_iglblastn_igblastn_IGHG,IGH,1,1,1
Gupta_2017_Heavy_GMC_volunteer_Bulk_GMC_after_1h_SRX2251675_iglblastn_igblastn_Bulk,IGH,3831,3986,4046
Vander_Heiden_2017_Heavy_MK03_Bulk_MK03_Memory_Bcells_age51_Musk_disease-27years_stageIIIb_treatment-Pyridostigmine-Prednisone_iglblastn_igblastn_Bulk,IGL,28027,75758,99906
Briney_2019_Subject_326713_IgA_Subject-326713_Replicate-16_Isotype-IgA,IGH,617,631,631
Vander_Heiden_2017_Heavy_MK03_IGHD_MK03_Memory_Bcells_age51_Musk_disease-27years_stageIIIb_treatment-Pyridostigmine-Prednisone_iglblastn_igblastn_IGHD,IGK,53,54,54
Parameswaran_2014_Acute_Bulk_199_Acute_iglblastn_Bulk,IGH,2812,10353,12879
Tipton_2015_FLU_IGHD_FLU_subject_1_iglblastn_IGHD,IGH,14,24,25
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHM_NoSIT_tissue-PBMC_subject-11_timepoint-0_Age-23_SRR5754970_iglblastn_iglblastn_IGHM,IGH,1089,1172,1281
Fisher_2017_Light_Naive_IAC3_Naive_Light_iglblastn,IGL,2,2,2
Vander_Heiden_2017_Heavy_MK04_IGHG_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_IGHG,IGH,928,6249,9466
Waltari_2018_Heavy_Healthy_PBMCs_IGHA_Heavy_Healthy_PBMCs_BD2-repeat1_igblastn_IGHA,IGL,21,22,22
Liao_2013_Heavy_IGHE_CH505-IGH-wk006_iglblastn_igblastn_IGHE,IGH,108,109,109
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_SRR934652_iglblastn,IGH,60,105,111
Eliyahu_2018_Heavy_HCV_IGA_IGHA_HCV_CI16_IGA_igblastn_IGHA,IGH,13460,31348,109346
Eliyahu_2018_Heavy_HCV_IGG_IGHG_HCV_CI10_IGG_igblastn_IGHG,IGH,1765,4066,37541
Galson_2016_Visit-5_Subject-2125_HBsAg+-B-cells_Subject-2125_Visit-5_age-25_HBsAg+-B-cells_iglblastn,IGH,2262,12358,17551
Ellebedy_2016_Day-7_activated-B-cell_IGHM_activated-B-cell_Day-7_Donor-157_igblastn_IGHM,IGH,833,17983,18946
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S3_Naive-B-Cells_igblastn_Bulk,IGK,12995,141529,293500
Tipton_2015_SLE_IGHG_SLE_subject_4_iglblastn_IGHG,IGH,159235,353215,356773
Tipton_2015_SLE_IGHM_SLE_subject_8_iglblastn_IGHM,IGH,167907,938207,987904
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S80_Naive-B-Cells_igblastn_IGHA,IGH,4,31,35
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHA_NoSIT_tissue-PBMC_subject-13_timepoint-0_Age-38_SRR5754972_iglblastn_iglblastn_IGHA,IGH,1034,1340,1615
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-7_timepoint-56_Age-27_SRR5755016_iglblastn_iglblastn_IGHA,IGH,1,1,1
Ellebedy_2016_Day-90_peripheral-blood-mononuclear-cell_IGHA_peripheral-blood-mononuclear-cell_Day-90_Donor-6_igblastn_IGHA,IGH,6,6,6
Levin_2017_Bone_marrow_Donor5_IGHA_Donor5_BM_2_iglblastn_IGHA,IGH,68374,400195,404999
Vander_Heiden_2017_Heavy_AR04_Bulk_AR04_Naive_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_Bulk,IGH,5277,5366,5386
Waltari_2018_Heavy_Healthy_PBMCs_IGHA_Heavy_Healthy_PBMCs_BD4_igblastn_IGHA,IGH,38621,807585,974519
Eliyahu_2018_Heavy_HCV_IGG_IGHA_HCV_SC15_IGG_igblastn_IGHA,IGH,1123,1380,2699
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S30_Naive-B-Cells_igblastn_IGHM,IGH,44253,157334,191131
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S38_Naive-B-Cells_igblastn_Bulk,IGK,24639,168138,246684
Soto_2016_Heavy_IGHA_IAVI84_Heavy_iglblastn_IGHA,IGH,53,57,57
Vander_Heiden_2017_Heavy_HD09_IGHD_HD09_Naive_Bcells_age31_healthy_iglblastn_igblastn_IGHD,IGK,42,51,77
Gupta_2017_Heavy_GMC_volunteer_IGHE_GMC_before_1h_SRX2251669_iglblastn_igblastn_IGHE,IGH,16,16,17
Liao_2013_Heavy_IGHM_CH505-IGH-wk014_iglblastn_igblastn_IGHM,IGH,15136,23792,25948
Thornqvist_2018_Donor-6_Bone-Marrow_Bulk_Donor_6_bone_marrow_sample_2_igblastn_Bulk,IGH,570,1264,1284
Parameswaran_2014_Conv_Bulk_208_Conv_iglblastn_Bulk,IGH,6204,7982,8320
Wu_2014_Allergic-rhinitis-in-season_IGHE_Patient_302_Allergic-rhinitis-in-season_age-43_iglblastn_IGHE,IGH,294,406,417
Vander_Heiden_2017_Heavy_MK05_IGHG_MK05_Memory_Bcells_age38_Musk_disease-8_stageI_iglblastn_igblastn_IGHG,IGK,127,160,165
Landais_2017_Heavy_Month-V3_IGHG_Heavy_Month-V3_PC64_igblastn_IGHG,IGH,84278,628782,716974
Briney_2019_Subject_316188_IgG_Subject-316188_Replicate-5_Isotype-IgG,IGH,102726,505942,506510
Briney_2019_Subject_326713_IgD_Subject-326713_Replicate-13_Isotype-IgD,IGH,427,434,434
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S23_Naive-B-Cells_igblastn_IGHD,IGH,21348,35054,38096
Briney_2019_Subject_326650_IgA_Subject-326650_Replicate-10_Isotype-IgA,IGH,133,161,161
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S74_Naive-B-Cells_igblastn_IGHA,IGH,28,75,81
Vander_Heiden_2017_Heavy_MK04_Bulk_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_Bulk,IGL,8230,31598,51049
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_SRR934653_iglblastn,IGH,7,10,10
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S48_Naive-B-Cells_igblastn_IGHD,IGH,11281,28557,33170
Gupta_2017_Heavy_GMC_volunteer_IGHE_GMC_after_1d_SRX2251674_iglblastn_igblastn_IGHE,IGL,248,409,465
Briney_2019_Subject_326713_IgG_Subject-326713_Replicate-18_Isotype-IgG,IGH,109216,233929,234073
Galson_2016_Visit-4_Subject-2491_HBsAg+-B-cells_Subject-2491_Visit-4_age-33_HBsAg+-B-cells_iglblastn,IGH,29631,189184,256542
Menzel_2014_Primer_extension_method_PE1_iglblastn,IGH,247779,2042668,2042681
Waltari_2018_Light_Healthy_cord-blood-cells_Bulk_Heavy_Healthy_cord-blood-cells_CB1_igblastn_Bulk,IGH,2822,4329,4476
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S61_Naive-B-Cells_igblastn_Bulk,IGK,28817,199234,282109
Joyce_2016_Bulk_healthy_2_iglblastn_Bulk,IGK,199,1066,1073
Gupta_2017_Heavy_Fv_volunteer_Bulk_FV_after_2w_SRX2251685_iglblastn_igblastn_Bulk,IGH,2405,2472,2482
Briney_2019_Subject_326907_IgE_Subject-326907_Replicate-18_Isotype-IgE,IGH,3,4,4
Vander_Heiden_2017_Heavy_MK05_IGHA_MK05_Naive_Bcells_age38_Musk_disease-8_stageI_iglblastn_igblastn_IGHA,IGH,524,2015,2481
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-5_timepoint-0_Age-23_SRR5755072_iglblastn_iglblastn_IGHM,IGH,1070,1341,1555
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_SC14_IGA_igblastn_Bulk,IGK,19,19,56
Ellebedy_2016_Day-28_HA-negative-memory-B-cells_IGHM_HA-negative-memory-B-cells_Day-28_Donor-8_igblastn_IGHM,IGH,492,6094,6322
Bonsignori_2016_normal_IGHE_normalDonor_1_iglblastn_igblastn_IGHE,IGH,15,15,15
Rubelt_2016_TWINs_5_TW05B_IGHG_TW05B_B_naive_iglblastn_IGHG,IGL,5,6,13
Ellebedy_2016_Day-0_peripheral-blood-mononuclear-cell_IGHG_peripheral-blood-mononuclear-cell_Day-0_Donor-157_igblastn_IGHG,IGH,19322,74583,74845
Jiang_2013_FLU_IGHM_SRR770500_iglblastn_igblastn_IGHM,IGH,94949,192381,207769
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_CI22_IGA_igblastn_Bulk,IGK,6,6,7
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S38_Naive-B-Cells_igblastn_IGHG,IGH,20,94,108
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S29_Naive-B-Cells_igblastn_Bulk,IGL,9266,83020,114715
Jiang_2013_FLU_Bulk_SRR747759_iglblastn_igblastn_Bulk,IGH,36877,54994,57772
Gupta_2017_Heavy_IB_volunteer_IGHG_IB_after_1h_SRX2251660_iglblastn_igblastn_IGHG,IGK,167,186,200
Gupta_2017_Heavy_Fv_volunteer_IGHG_FV_after_1h_SRX2251683_iglblastn_igblastn_IGHG,IGH,6504,32916,35131
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-5_Isotype-IgA,IGH,70,121,121
Briney_2019_Subject_326713_IgE_Subject-326713_Replicate-8_Isotype-IgE,IGL,1,1,1
Eliyahu_2018_Heavy_HCV_IGM_IGHM_HCV_SC2_IGM_igblastn_IGHM,IGH,25386,34212,419435
Ellebedy_2016_Day-7_HA-positive-activated-B-cell_IGHG_HA-positive-activated-B-cell_Day-7_Donor-4_igblastn_IGHG,IGH,1774,26972,28358
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHG_NoSIT_tissue-PBMC_subject-10_timepoint-0_Age-30_SRR5754969_iglblastn_iglblastn_IGHG,IGH,643,846,952
Pei_2017_gamma1_Bone-Marrow_IGHG_gamma1_Bone-Marrow_Follicular-B-Cells_1_igblastn_IGHG,IGH,974,2975,3441
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_SRR934659_iglblastn,IGK,1719,9341,11524
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_bone_marrow_IgK_RAG+_B_lineage_cells_from_bone_marrow_SRR934663_iglblastn,IGH,9,15,16
Turchaninova_2016_IGHM_Plasma_cells_donor_7_iglblastn_igblastn_IGHM,IGH,289,712,712
Ellebedy_2016_Day-28_HA-positive-memory-B-cell_IGHA_HA-positive-memory-B-cell_Day-28_Donor-4_igblastn_IGHA,IGH,2418,46552,58008
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S83_Naive-B-Cells_igblastn_IGHG,IGH,28,67,75
Briney_2019_Subject_326780_unknown_Subject-326780_Replicate-16_Isotype-unknown,IGK,1,1,1
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S2_Naive-B-Cells_igblastn_IGHM,IGK,1,6,7
Ellebedy_2016_Day-7_resting-memory-B-cell_IGHA_resting-memory-B-cell_Day-7_Donor-162_igblastn_IGHA,IGH,1411,36406,42727
Vander_Heiden_2017_Heavy_HD10_IGHG_HD10_Unsorted_Bcells_age31_healthy_iglblastn_igblastn_IGHG,IGH,1056,12923,23079
Wu_2015_Heavy_Visit_0_IGHM_H-2-chain_0-visit_1995-year_03-month_20-day_iglblastn_iglblastn_IGHM,IGH,33459,51663,55683
Ellebedy_2016_Day-0_peripheral-blood-mononuclear-cell_Bulk_peripheral-blood-mononuclear-cell_Day-0_Donor-4_igblastn_Bulk,IGH,18,19,19
Sheng_2017_Light_LP23810-Light-12_igblastn,IGL,21702,55304,71086
Corcoran_2016_kappa_rhesus_rhesus_kappa_F132_igblastn,IGL,147,155,155
Thornqvist_2018_Donor-5_PBMC_Bulk_Donor_5_peripheral_blood_sample_2_igblastn_Bulk,IGL,1,1,1
Briney_2019_Subject_326651_unknown_Subject-326651_Replicate-11_Isotype-unknown,IGH,106,110,110
Davis_2019_Heavy_EVD15_IGHD_Heavy_EVD15_EBOLA_discharge_PBMC_igblastn_IGHD,IGH,65024,221072,222605
Bonsignori_2016_Hiv_infected_week-100_Bulk_HIV_infected_week-100_week_repeat-5_PBMC_iglblastn_igblastn_Bulk,IGH,30,41,43
Vander_Heiden_2017_Heavy_AR02_IGHG_AR02_Memory_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_IGHG,IGH,3827,23070,30007
Ellebedy_2016_Day-90_peripheral-blood-mononuclear-cell_IGHA_peripheral-blood-mononuclear-cell_Day-90_Donor-5_igblastn_IGHA,IGH,51386,251230,259550
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHD_SIT_tissue-PBMC_subject-3_timepoint-56_Age-30_SRR5755001_iglblastn_iglblastn_IGHD,IGH,1338,1355,1448
Briney_2019_Subject_316188_IgE_Subject-316188_Replicate-6_Isotype-IgE,IGH,398,489,489
Briney_2019_Subject_326780_unknown_Subject-326780_Replicate-13_Isotype-unknown,IGK,36,71,71
Thornqvist_2018_Donor-6_Bone-Marrow_IGHE_Donor_6_bone_marrow_sample_2_igblastn_IGHE,IGH,6277,157870,277168
Waltari_2018_Heavy_Healthy_PBMCs_IGHA_Heavy_Healthy_PBMCs_BD10_igblastn_IGHA,IGH,8864,135818,146268
Gupta_2017_Heavy_GMC_volunteer_IGHA_GMC_after_1d_SRX2251674_iglblastn_igblastn_IGHA,IGH,9936,55673,67784
Tipton_2015_SLE_IGHG_SLE_subject_2_iglblastn_IGHG,IGH,23789,146245,153122
Briney_2019_Subject_326713_IgM_Subject-326713_Replicate-6_Isotype-IgM,IGH,1189559,2742178,2745037
Sheng_2017_Heavy_LP32647-IGHG-11_igblastn,IGH,50035,149127,189437
Levin_2017_Bone_marrow_Donor2_IGHM_Donor2_BM_2_iglblastn_IGHM,IGH,154907,359253,363011
Galson_2015_Visit-2_Subject-1020_IgM_Subject-1020_Visit-2_treatment-MenACWY-polysaccharide_HLA-DR+-Plasma-cells_IgM_iglblastn,IGH,13158,77507,140805
Levin_2015_NoSIT_timepoint-0_tissue-Biopsy_IGHG_NoSIT_tissue-Biopsy_subject-12_timepoint-0_Age-24_SRR5755077_iglblastn_iglblastn_IGHG,IGH,396,708,1004
Jiang_2013_FLU_IGHG_SRR747766_iglblastn_igblastn_IGHG,IGH,57631,141311,160673
Vander_Heiden_2017_Heavy_AR02_IGHG_AR02_Naive_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_IGHG,IGL,87,239,328
Briney_2019_Subject_326737_IgA_Subject-326737_Replicate-7_Isotype-IgA,IGH,180,200,200
Briney_2019_Subject_326780_unknown_Subject-326780_Replicate-8_Isotype-unknown,IGH,57,70,70
Levin_2017_Peripheral_Donor6_IGHD_Donor6_PB_2_iglblastn_IGHD,IGH,16,17,17
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-1_timepoint-0_Age-38_SRR5755064_iglblastn_iglblastn_IGHA,IGH,2563,3406,4154
Bashford_2013_CLL_subject-8_Bulk_CLL_subject-8_Age-64_repeat-3_iglblastn_Bulk,IGH,389,2504,8325
Vander_Heiden_2017_Heavy_AR04_IGHA_AR04_Naive_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_IGHA,IGH,992,4493,4834
Briney_2019_Subject_327059_IgE_Subject-327059_Replicate-12_Isotype-IgE,IGH,382,477,477
Eliyahu_2018_Heavy_HCV_IGG_Bulk_HCV_CI15_IGG_igblastn_Bulk,IGH,556,642,841
Eliyahu_2018_Heavy_HCV_IGG_Bulk_HCV_CI10_IGG_igblastn_Bulk,IGH,104,122,869
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHE_NoSIT_tissue-PBMC_subject-9_timepoint-0_Age-25_SRR5754968_iglblastn_iglblastn_IGHE,IGH,9,11,23
Gupta_2017_Heavy_GMC_volunteer_IGHM_GMC_after_3d_SRX2251670_iglblastn_igblastn_IGHM,IGH,28043,73012,95399
Rubelt_2016_TWINs_5_TW05B_IGHD_TW05B_B_memory_iglblastn_IGHD,IGH,502,1885,1888
Vergani_2017_B17_age-less_than_40_IGHA_B17_age-less_than_40_iglblastn_IGHA,IGH,295,606,720
Johnson_2018_Heavy_Healthy_Healthy_Heavy_Healthy_Healthy_Naive_Part-1,IGK,11,11,11
Parameswaran_2014_PConv_IGHA_287_PConv_iglblastn_IGHA,IGH,2,2,2
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S6_Naive-B-Cells_igblastn_IGHM,IGH,72342,206909,236808
Wesemann_2013_IgH_RAG+_B_cells_from_bone_marrow_IGHM_IgH_RAG+_B_lineage_cells_from_bone_marrow_SRR934673_iglblastn_igblastn_IGHM,IGH,2307,2446,2491
Ellebedy_2016_Day-7_HA-positive-antibody-secreting-cell_IGHG_HA-positive-antibody-secreting-cell_Day-7_Donor-6_igblastn_IGHG,IGH,4717,51277,51534
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S51_Naive-B-Cells_igblastn_IGHG,IGH,1,1,1
Soto_2016_Heavy_Bulk_Donor_N152_2_iglblastn_Bulk,IGK,3,3,3
Ellebedy_2016_Day-14_HA-positive-activated-B-cell_IGHA_HA-positive-activated-B-cell_Day-14_Donor-8_igblastn_IGHA,IGH,2,2,2
Palanichamy_2014_Source-CSF_Subject-26712_IGHG_Subject-26712_Source-CSF_Age-54_iglblastn_igblastn_IGHG,IGH,130,3131,4858
Gupta_2017_Light_GMC_volunteer_GMC_after_3d_SRX2251670_iglblastn,IGL,72545,331678,500817
Rubelt_2016_TWINs_5_TW05B_Bulk_TW05B_B_naive_iglblastn_Bulk,IGK,11,19,24
Tipton_2015_FLU_IGHD_FLU_subject_2_iglblastn_IGHD,IGH,39,39,39
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S97_Naive-B-Cells_igblastn_IGHM,IGH,12712,107296,156571
Zhu_2013_Heavy_IGHG_Donor_C38_Run8_iglblastn_igblastn_IGHG,IGH,19038,48008,82117
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-17_Isotype-IgA,IGH,32,56,56
